Id,Name,Custodian,Account Number Formats
83,US Bank Trust,usbank,"NNNNNN (Master)
NNNNNNN (Master)
NNNNNNNN (Master)
NNNNNNNNNN (Master)
NNNNNNNNNNNN (Master)
NNAAANNNNN (Master)
NNN-AA-AAAA (Master)
NNN-AAA-AAAA (Master)
NNN-AA-AAAN (Master)
NNN-AA-AAAAN (Master)
NN-NNNNNNNNN (Master)
NN-NNNNNNNNA (Master)
NN-NNNN (Master)
NN-NNNNN (Master)
NNNNNNNNNNA (Master)
NN-NNNNA (Master)
NNNNN (Master)
NNNNNNNNNNN (Master)
NNN-AN-AAAA (Master)
NNN-AA-AAA (Master)
NNNNNNNNNNNA (Master)
NNNNNN-NNN (Master)
NNNNNNN-NNN (Master)
AA-NNNN-N (Master)
NN-NNNNNNNN (Master)
NN-NNNNNN (Master)
NNNNNNNNN (Master)"
84,US Bank Retail,usbankretail,NNNNNNNNNNNN (Master)
85,Bank of America Private Bank ,ustrust,NNNNNNNNNNNNNN (Master)
86,UBS Wealth Management Americas,ubs,"XXXNNNN (Master)
XXXNNNNNNN (Master)
XXNNNNN (Master)"
90,Wells Fargo Trust & Custody,wellsfargo,"NNNNNNNN (Master)
NNNNNNNNN (Master)
NNNNNNNNNN (Master)
AAANNNNNN (Master)
NNNNNN (Master)"
91,Wells Fargo Private Banking,wellsfargobank,NNNNNNNNNN (Master)
103,Citigroup Global Markets Inc.,citibank,XXXNNNNNN (Master)
104,Credit Suisse Securities (USA),pershingcreditsuisse,XXXNNNNNN (Master)
105,Alliance Bernstein,alliancebernstein,NNNNNNNN (Master)
108,Citi Private Bank US & CA,citiprivatebank,"NNANNNNNNNNN (Master)
NNNNNNNNNN (Master)
ANNNNNNNN (Master)
NNNNNNNNN (Master)
NNNNNNNNNNN (Master)
NNNNNNNNNNNNNNN (Master)
NNNNNNNN (Master)
ANANNNNNNNNN (Master)
NNANNNNNNNNA (Master)
NNNAAANNNNNNNNNN (Master)
NNANNNNN (Master)
AAANNNNNN (Master)
NNNNNNNNNNNN (Master)
NNNAAAANNNNNNNNN (Master)
NNAANNNNNNNN (Master)
AAAAANNNNNNN (Master)
NANNNNNNANNN (Master)
NNNNNNNNNNNNNN (Master)
AANNNNNNNNNNNNN (Master)"
109,BMO Global Asset Management,bmo,"NNNNNNNNN (Master)
NNANNNNNN (Master)"
110,BNY Mellon Wealth Management Workbench,workbench,"AANANNNNNNNN (Master)
AAAANNNNNNNN (Master)
ANNANNNNNNNN (Master)
ANAANNNNNNNN (Master)"
